id,text,length
46,КАВА Й ЕНЕРГЕТИКИ ТАКОЖ СТАЛИ ЗВИЧНОЮ ЧАСТИНОЮ РАЦІОНУ ПІДЛІТКІВ ЧЕРЕЗ ШИРОКИЙ ВИБІР СМАКІВ І БАЖАННЯ ОТРИМАТИ ШВИДКИЙ ЗАРЯД ЕНЕРГІЇ,132
47,НАВІТЬ НЕВЕЛИКА ДОЗА КОФЕЇНУ МОЖЕ СПРИЧИНИТИ ПЕРЕЗБУДЖЕННЯ ПРОБЛЕМИ ЗІ СНОМ І ПРИСКОРЕНЕ СЕРЦЕБИТТЯ ЧИ ВПЛИВАТИ НА ОБМІН РЕЧОВИН В ОРГАНІЗМІ,140
92,УСІ ТЕХНІЧНІ КОМАНДИ ПРАЦЮЮТЬ У НАДЗВИЧАЙНО СКЛАДНИХ УМОВАХ ЦІЛОДОБОВО РЕАГУЮЧИ НА БУДЬ ЯКІ НЕШТАТНІ СИТУАЦІЇ РОЗПОВІЛИ В КИЇВСТАР,130
48,ЯК КАВА ВПЛИВАЄ НА ЮНИЙ ОРГАНІЗМ ЩО ПИТИ НАТОМІСТЬ ТА КОМУ КАТЕГОРИЧНО НЕ МОЖНА ВЖИВАТИ КОФЕЇН РОЗПОВІДАЮТЬ ПЕДІАТРИНЯ МАРІЯ ЛОЗЮК ДІЄТОЛОГИНЯ КАТЕРИНА СИРОТКА ТА ДИТЯЧА ПСИХІАТРИНЯ КАТЕРИНА КРУТІКОВА,200
49,САМЕ ТОМУ ПІСЛЯ КАВИ ЛЮДИ МОЖУТЬ ВІДЧУВАТИ ЗБІЛЬШЕННЯ СИЛ ПОКРАЩЕННЯ НАСТРОЮ ТА ВПЕВНЕНІСТЬ У СОБІ ЗА УМОВИ ВЖИВАННЯ БЕЗПЕЧНОЇ ДОБОВОЇ НОРМИ ЩО ДОРІВНЮЄ ДВОМ ЧАШКАМ ЕСПРЕСО ДЛЯ ДОРОСЛИХ,185
50,ТАКОЖ ПОТРІБНО ВРАХУВАТИ ЩО КОФЕЇН ЗНАХОДИТЬСЯ НЕ ЛИШЕ У КАВІ А Й У КАКАО ЧОРНОМУ ТА ЗЕЛЕНОМУ ЧАЇ ХОЧА ЙОГО РІВЕНЬ ТАМ МЕНШИЙ,125
51,ЙОГО ОСОБЛИВІСТЬ В ТОМУ ЩО СТРІМКО ПРОНИКАЄ В КЛІТИНИ МОЗКУ ШВИДКО СТИМУЛЮЄ НЕРВОВУ СИСТЕМУ СПЕРШУ ПІДВИЩУЄ БАДЬОРІСТЬ ПОКРАЩУЄ КОНЦЕНТРАЦІЮ ТА ПРИСКОРЮЄ ОПРАЦЮВАННЯ ІНФОРМАЦІЇ,176
52,КОФЕЇН ТАКОЖ МОЖЕ ЗБІЛЬШУВАТИ РИЗИК ПАНІЧНИХ АТАК ПІДСИЛЮВАТИ АГРЕСИВНІСТЬ ТА ПІДВИЩУВАТИ СХИЛЬНІСТЬ ДО ВЖИВАННЯ ІНШИХ ПСИХОАКТИВНИХ РЕЧОВИН ЗОКРЕМА АЛКОГОЛЮ,157
53,ЦЕ ВІДБУВАЄТЬСЯ КОЛИ ЛЮДИ ВЖИВАЮТЬ КОФЕЇН У ВЕЛИКИХ КІЛЬКОСТЯХ АБО РОБЛЯТЬ ЦЕ РЕГУЛЯРНО Й ПРОТЯГОМ ТРИВАЛОГО ЧАСУ ТАКОЖ У ЗНАЧНИХ ДОЗАХ ДОДАЛА ЕКСПЕРТКА,152
54,ПЕДІАТРИНЯ НАГОЛОШУЄ ЩО ВАРТО ОРІЄНТУВАТИСЯ НА ДОКАЗОВІ РЕКОМЕНДАЦІЇ ЗОКРЕМА АМЕРИКАНСЬКОЇ АКАДЕМІЇ ПЕДІАТРІЇ А ТАКОЖ ЄВРОПЕЙСЬКИХ І КАНАДСЬКИХ ФАХОВИХ ОРГАНІЗАЦІЙ,163
